date,volume,open,close,high,low,adjclose,T10Y2Y
11/19/2018,103061700,273.0499878,269.1000061,273.3800049,268.0700073,266.3644409,0.51
11/16/2018,126668000,271.7900085,273.730011,274.75,271.2099915,270.9473572,0.52
11/15/2018,135101400,268.7799988,273.019989,273.5400085,267.0100098,270.2445374,0.53
11/14/2018,125335900,274.1600037,270.2000122,274.6099854,268.4500122,267.4532471,0.55
11/12/2018,99673600,277.1900024,272.5700073,277.4599915,271.9899902,269.7991638,0.57
11/9/2018,98812600,279.0299988,277.7600098,279.2399902,276.1799927,274.9363708,0.59
11/8/2018,65584900,280.1099854,280.5,281.2200012,279.2200012,277.6485291,0.62
11/7/2018,102752100,277.5599976,281.0100098,281.1000061,277.0799866,278.1533508,0.59
11/6/2018,60085900,273.3200073,275.1199951,275.2999878,273.25,272.3232117,0.55
11/5/2018,65622500,272.4400024,273.3900146,274.0100098,271.3500061,270.6108398,0.51
11/2/2018,122634100,274.75,271.8900146,275.230011,269.5899963,269.1260681,0.53
11/1/2018,99495000,271.6000061,273.5100098,273.730011,270.3800049,270.7295837,0.57
10/31/2018,128296300,270.6499939,270.6300049,273.230011,270.1199951,267.8788757,0.57
10/30/2018,157116000,263.6700134,267.769989,268.1199951,263.1199951,265.0479431,0.57
10/29/2018,160749100,268.7999878,263.8599854,270.25,259.8500061,261.1776733,0.58
10/26/2018,201574600,265.9200134,265.3299866,271,262.2900085,262.6327209,0.57
10/25/2018,138061500,267.3800049,270.0799866,271.8099976,266.230011,267.3344421,0.55
10/24/2018,177806700,273.3299866,265.3200073,273.7600098,264.7000122,262.6228638,0.53
10/23/2018,146352700,270.9500122,273.6099854,274.8699951,268.6099854,270.8285522,0.57
10/22/2018,82415800,277,275.0100098,277.3599854,274.4100037,272.214325,0.59
10/19/2018,139901600,277.1300049,276.25,279.2999878,275.4700012,273.4417419,0.64
10/18/2018,134557500,279.3999939,276.3999939,280.0700073,274.9700012,273.59021,0.59
10/17/2018,110626000,280.4400024,280.4500122,281.1499939,277.5599976,277.5990601,0.59
10/16/2018,118255800,276.6000061,280.3999939,280.8200073,276.0700073,277.54953,0.58
10/15/2018,102263700,275.5499878,274.3999939,277.0400085,274.2999878,271.6105347,0.59
10/11/2018,274840500,277.0799866,272.1700134,278.8999939,270.3599854,269.4032288,0.58
10/10/2018,214731000,286.8299866,278.2999878,286.9100037,277.8800049,275.4708862,0.59
10/9/2018,74339000,287.3900146,287.3999939,288.8599854,286.769989,284.478363,0.6
10/8/2018,87742200,287.0499878,287.8200073,288.2200012,285.5,284.894104,0.62
10/5/2018,105951700,289.6900024,287.8200073,290.269989,286.2200012,284.894104,0.65
10/4/2018,111545900,291.1799927,289.4400024,291.2399902,287.6600037,286.4976501,0.65
10/3/2018,64694600,292.7399902,291.7200012,293.2099915,291.3200073,288.7544861,0.7
10/2/2018,47258200,291.5599976,291.5599976,292.3599854,291.1400146,288.5960999,0.7
10/1/2018,62078900,292.1099854,291.730011,292.9299927,290.980011,288.7643738,0.73
9/28/2018,70091400,289.9899902,290.7200012,291.2799988,289.9500122,287.7646484,0.7
9/27/2018,59249500,290.4100037,290.6900024,291.9100037,290.1000061,287.7349243,0.67
9/26/2018,79739700,290.9100037,289.8800049,292.2399902,289.4100037,286.933197,0.69
9/25/2018,44370000,291.5299988,290.75,291.6499939,290.480011,287.7943115,0.71
9/24/2018,53409600,291.3399963,291.019989,291.5,290.3699951,288.0615845,0.71
9/21/2018,105479700,293.0899963,291.9899902,293.2200012,291.8099976,289.021698,0.74
9/20/2018,100360600,292.6400146,293.5799866,293.9400024,291.2399902,289.2860107,0.76
9/19/2018,49080600,290.9700012,291.2200012,291.6900024,290.8299866,286.9605408,0.78
9/18/2018,61930400,289.5799866,290.9100037,291.5799866,289.5499878,286.6550903,0.79
9/17/2018,68244000,290.8200073,289.3399963,290.8599854,289.0299988,285.1080017,0.83
9/14/2018,55079900,291.0599976,290.8800049,291.269989,290,286.6254883,0.83
9/13/2018,51034200,290.3200073,290.8299866,291.0400085,290,286.5762329,0.83
9/12/2018,59810800,289.0599976,289.1199951,289.7999878,288.230011,284.8912354,0.82
9/11/2018,50530500,287.3699951,289.0499878,289.5499878,286.980011,284.8222351,0.8
9/10/2018,50210900,288.7399902,288.1000061,289.0400085,287.8800049,283.8861694,0.79
9/7/2018,73524800,286.980011,287.6000061,288.7000122,286.7099915,283.3934937,0.75
9/6/2018,65909900,289.1499939,288.1600037,289.4899902,287,283.9453125,0.75
9/5/2018,72452400,289.4100037,289.0299988,289.6400146,287.8900146,284.8025513,0.76
9/4/2018,57594400,289.8399963,289.8099976,290.2099915,288.6799927,285.5711365,0.76
8/31/2018,66140800,289.8399963,290.3099976,290.8099976,289.2900085,286.0638428,0.77
8/30/2018,61229500,290.9400024,290.2999878,291.3599854,289.6300049,286.0539856,0.82
8/29/2018,61485500,290.1600037,291.480011,291.7399902,289.8900146,287.2167358,0.84
8/28/2018,46943500,290.2999878,289.9200134,290.4200134,289.3999939,285.6795654,0.84
8/24/2018,57487400,286.4400024,287.5100098,287.6700134,286.3800049,283.3047791,0.83
8/23/2018,49204900,285.9700012,285.7900085,286.9400024,285.4299927,281.6099854,0.86
8/22/2018,44993300,285.8800049,286.1700134,286.7600098,285.5799866,281.9844055,0.86
8/21/2018,67272000,286.25,286.3399963,287.3099976,285.7099915,282.1519165,0.86
8/20/2018,39807500,285.5700073,285.6700134,285.9700012,285.0599976,281.4917297,0.85
8/17/2018,65618500,283.8299866,285.0599976,285.5599976,283.3699951,280.8906555,0.86
